time (s)	det(V)
7042.339153	0.846105	
7042.340636	0.777237	
7042.342376	0.924694	
7042.343876	0.827116	
7042.345645	0.984696	
7042.347161	0.901350	
7042.348893	1.009494	
7042.350416	0.949657	
7042.352130	1.079325	
7042.353667	0.990779	
7042.355346	1.139693	
7042.356897	1.034252	
7042.358593	1.246077	
7042.360192	1.111890	
7042.361684	1.124374	
7042.363257	1.191316	
7042.364784	1.216244	
7042.366417	1.255910	
7042.367895	1.220127	
7042.369513	1.335313	
7042.370996	1.309096	
7042.372640	1.377888	
7042.374144	1.314567	
7042.375753	1.428762	
7042.377267	1.352421	
7042.378838	1.447820	
7042.380382	1.439070	
7042.381913	1.530263	
7042.383497	1.488941	
7042.385086	1.584811	
7042.386700	1.550349	
7042.388250	1.632760	
7042.389878	1.644925	
7042.391382	1.666340	
7042.393086	1.704021	
7042.394559	1.678163	
7042.396296	1.724549	
7042.397769	1.721439	
7042.399480	1.727079	
7042.400957	1.726728	
7042.402670	1.727268	
7042.404149	1.726648	
7042.405844	1.727256	
7042.407324	1.726882	
7042.409101	1.727945	
7042.410594	1.727445	
7042.412365	1.727997	
7042.413867	1.727590	
7042.415603	1.727949	
7042.417112	1.727474	
7042.418838	1.728102	
7042.420369	1.727719	
7042.422080	1.727977	
7042.423630	1.727594	
7042.425331	1.727373	
7042.426883	1.727546	
7042.428563	1.728030	
7042.430133	1.727663	
7042.431801	1.728066	
7042.433381	1.727699	
7042.435020	1.728146	
7042.436628	1.727925	
7042.438243	1.728255	
7042.439869	1.727627	
7042.441473	1.728179	
7042.443131	1.727570	
7042.444744	1.728098	
7042.446427	1.727643	
7042.447998	1.728134	
7042.449688	1.727756	
7042.451247	1.728110	
7042.452957	1.727840	
7042.454521	1.728018	
7042.456192	1.727804	
7042.457737	1.728030	
7042.459456	1.727667	
7042.460960	1.728110	
7042.462714	1.727788	
7042.464192	1.728086	
7042.465952	1.727925	
7042.467436	1.727788	
7042.469203	1.727937	
7042.470681	1.728058	
7042.472446	1.727917	
7042.473939	1.727876	
7042.475727	1.728138	
7042.477222	1.728005	
7042.478979	1.728001	
7042.480488	1.728062	
7042.482211	1.728279	
7042.483734	1.727820	
7042.485457	1.727852	
7042.487001	1.727985	
7042.488723	1.728163	
7042.490267	1.727917	
7042.491949	1.728279	
7042.493506	1.727961	
7042.495180	1.728207	
7042.496756	1.727828	
7042.498411	1.728183	
7042.500016	1.727820	
7042.501645	1.728223	
7042.503250	1.727961	
7042.504881	1.728307	
7042.506509	1.727635	
7042.508114	1.728163	
7042.509766	1.727828	
7042.511357	1.728187	
7042.513047	1.727868	
7042.514617	1.728179	
7042.516310	1.727860	
7042.517784	1.728025	
7042.519349	1.728009	
7042.520852	1.727905	
7042.522407	1.727836	
7042.523944	1.727901	
7042.525518	1.728054	
7042.527068	1.728017	
7042.528604	1.727953	
7042.530215	1.728001	
7042.531703	1.728038	
7042.533361	1.727961	
7042.534876	1.728001	
7042.536529	1.727921	
7042.538017	1.728062	
7042.539646	1.728090	
7042.541123	1.727917	
7042.542762	1.728066	
7042.544248	1.728046	
7042.545940	1.728106	
7042.547434	1.727985	
7042.549139	1.728134	
7042.550630	1.728042	
7042.552312	1.728062	
7042.553811	1.727816	
7042.555467	1.728130	
7042.556991	1.727917	
7042.558615	1.728110	
7042.560198	1.727989	
7042.561779	1.728174	
7042.563381	1.727776	
7042.565025	1.727981	
7042.566634	1.727893	
7042.568260	1.728271	
7042.569874	1.727586	
7042.571491	1.728191	
7042.573147	1.727868	
7042.574764	1.728066	
7042.576432	1.727574	
7042.578016	1.728114	
7042.579712	1.727824	
7042.581278	1.728175	
7042.582974	1.727099	
7042.584552	1.728183	
7042.586256	1.727776	
7042.587807	1.728034	
7042.589528	1.727135	
7042.591074	1.727893	
7042.592796	1.727667	
7042.594315	1.727671	
7042.596062	1.727147	
7042.597572	1.727768	
7042.599306	1.725552	
7042.600790	1.727272	
7042.602587	1.726938	
7042.604067	1.725403	
7042.605856	1.725947	
7042.607337	1.715296	
7042.609099	1.727321	
7042.610577	1.721895	
7042.612324	1.727433	
7042.613834	1.721093	
7042.615562	1.719550	
7042.617096	1.659617	
7042.618817	1.725174	
7042.620340	1.651230	
7042.622034	1.724682	
7042.623592	1.643850	
7042.625274	1.725162	
7042.626827	1.642887	
7042.628509	1.720654	
7042.630101	1.604646	
7042.631769	1.710095	
7042.633339	1.582788	
7042.634981	1.708363	
7042.636568	1.587860	
7042.638188	1.687767	
7042.639833	1.531383	
7042.641420	1.663866	
7042.643093	1.589955	
7042.644668	1.643515	
7042.646355	1.537885	
7042.647943	1.624756	
7042.649612	1.526090	
7042.651171	1.567815	
7042.652887	1.536842	
7042.654439	1.586740	
7042.656135	1.505565	
7042.657677	1.548427	
7042.659400	1.509546	
7042.660897	1.503761	
7042.662649	1.494838	
7042.664129	1.481690	
7042.665910	1.512724	
7042.667400	1.455477	
7042.669164	1.487200	
7042.670641	1.401877	
7042.672416	1.463591	
7042.673907	1.389159	
7042.675665	1.415533	
7042.677201	1.317596	
7042.678683	1.301012	
7042.680274	1.245159	
7042.681758	1.293418	
7042.683416	1.259987	
7042.684902	1.254287	
7042.686531	1.239773	
7042.688052	1.145663	
7042.689690	1.194080	
7042.691165	1.109791	
7042.692803	1.177096	
7042.694285	1.077383	
7042.695928	1.123576	
7042.697427	1.001889	
7042.699039	1.097424	
7042.700559	0.971644	
7042.702129	1.025321	
7042.703668	0.932650	
7042.705290	1.011085	
7042.706841	0.867326	
7042.708448	0.968872	
7042.710057	0.827507	
7042.711619	0.908270	
7042.713239	0.780846	
7042.714756	0.862021	
7042.716443	0.699672	
7042.717915	0.765539	
7042.719639	0.713332	
7042.721108	0.675740	
7042.722812	0.667909	
7042.724357	0.700349	
7042.726079	0.631710	
7042.727594	0.606932	
7042.729345	0.615919	
7042.730831	0.579088	
7042.732623	0.560324	
7042.734105	0.508093	
7042.735885	0.522655	
7042.737365	0.489381	
7042.739133	0.507505	
7042.740616	0.426870	
7042.742384	0.504391	
7042.743885	0.371432	
7042.745658	0.437070	
7042.747154	0.340104	
7042.748900	0.424115	
7042.750414	0.297424	
7042.752146	0.410575	
7042.753676	0.268388	
7042.755373	0.390502	
7042.756911	0.194291	
7042.758602	0.385701	
7042.760169	0.171237	
7042.761845	0.345752	
7042.763409	0.166721	
7042.765071	0.356076	
7042.766644	0.158531	
7042.768289	0.326819	
7042.769895	0.169380	
7042.771510	0.292973	
7042.773162	0.168260	
7042.774762	0.276183	
7042.776452	0.107279	
7042.778045	0.249209	
7042.779693	0.141427	
7042.781280	0.253930	
7042.782979	0.119852	
7042.784529	0.191741	
7042.786218	0.121705	
7042.787749	0.178903	
7042.789452	0.113745	
7042.790990	0.158737	
7042.792711	0.128823	
7042.794214	0.108443	
7042.795983	0.166584	
7042.797464	0.116492	
7042.799231	0.130829	
7042.800716	0.059934	
7042.802510	0.128847	
7042.803986	0.062694	
7042.805760	0.090227	
7042.807236	-0.003769	
7042.809019	0.082867	
7042.810519	-0.032894	
7042.812284	0.074654	
7042.813784	-0.050434	
7042.815541	0.059926	
7042.817059	-0.093303	
7042.818781	0.012843	
7042.820312	-0.098471	
7042.822023	-0.038598	
7042.823578	-0.159823	
7042.825260	-0.039174	
7042.826827	-0.206503	
7042.828499	-0.062986	
7042.830073	-0.256067	
7042.831712	-0.092042	
7042.833298	-0.286920	
7042.834931	-0.171094	
7042.836557	-0.298236	
7042.838156	-0.212497	
7042.839804	-0.378170	
7042.841281	-0.425313	
7042.842921	-0.371877	
7042.844393	-0.447497	
7042.846028	-0.430989	
7042.847516	-0.498717	
7042.849140	-0.439807	
7042.850641	-0.538195	
7042.852223	-0.504188	
7042.853766	-0.609093	
7042.855321	-0.570631	
7042.856911	-0.638242	
7042.858403	-0.637972	
7042.860054	-0.653381	
7042.861551	-0.679549	
7042.863212	-0.743095	
7042.864705	-0.686703	
7042.866401	-0.767164	
7042.867886	-0.746044	
7042.869614	-0.788575	
7042.871091	-0.821200	
7042.872811	-0.794609	
7042.874294	-0.890548	
7042.876003	-0.825591	
7042.877488	-0.932474	
7042.879180	-0.861846	
7042.880664	-0.972854	
7042.882343	-0.882600	
7042.883844	-1.033432	
7042.885485	-0.895914	
7042.887020	-1.032921	
7042.888750	-0.913308	
7042.890288	-1.070747	
7042.891997	-0.928112	
7042.893549	-1.121834	
7042.895225	-0.939742	
7042.896783	-1.139357	
7042.898455	-0.947968	
7042.900047	-1.150519	
7042.901681	-0.970119	
7042.903294	-1.141722	
7042.904942	-1.008219	
7042.906550	-1.173614	
7042.908175	-1.024824	
7042.909816	-1.156832	
7042.911401	-1.046911	
7042.913071	-1.202461	
7042.914649	-1.082687	
7042.916326	-1.193909	
7042.917911	-1.096907	
7042.919593	-1.225644	
7042.921155	-1.136783	
7042.922861	-1.207158	
7042.924409	-1.133133	
7042.926118	-1.206247	
7042.927648	-1.171898	
7042.929375	-1.199560	
7042.930871	-1.217736	
7042.932615	-1.191085	
7042.934094	-1.256827	
7042.935882	-1.218103	
7042.937376	-1.255224	
7042.939158	-1.232528	
7042.940637	-1.304260	
7042.942428	-1.221587	
7042.943904	-1.305880	
7042.945644	-1.236427	
7042.947150	-1.344809	
7042.948879	-1.241584	
7042.950401	-1.392199	
7042.952149	-1.279450	
7042.953678	-1.396376	
7042.955404	-1.308406	
7042.956941	-1.465993	
7042.958643	-1.314093	
7042.960197	-1.467234	
7042.961888	-1.345772	
7042.963457	-1.503404	
7042.965118	-1.365825	
7042.966695	-1.524464	
7042.968353	-1.433586	
7042.969949	-1.523445	
7042.971591	-1.472249	
7042.973192	-1.525858	
7042.974818	-1.503110	
7042.976464	-1.523590	
7042.978065	-1.525057	
7042.979739	-1.526503	
7042.981323	-1.526696	
7042.982993	-1.526543	
