time (s)	det(V)
3466.877760	0.156300	
3466.879254	0.142869	
3466.880886	0.140960	
3466.882407	0.122317	
3466.884050	0.120343	
3466.885539	0.102566	
3466.887189	0.173082	
3466.888660	0.038890	
3466.890297	0.153548	
3466.891776	0.046689	
3466.893430	0.140170	
3466.894913	0.050681	
3466.896504	0.131099	
3466.898053	0.049191	
3466.899599	0.130611	
3466.901182	0.021818	
3466.902761	0.181287	
3466.904361	0.035051	
3466.905925	0.144420	
3466.907544	0.047390	
3466.909077	0.111247	
3466.910747	0.056804	
3466.912228	0.138329	
3466.913947	0.066452	
3466.915433	0.101011	
3466.917171	0.118675	
3466.918648	0.092201	
3466.920370	0.124911	
3466.921876	0.143772	
3466.923642	0.132790	
3466.925127	0.135071	
3466.926906	0.120681	
3466.928394	0.144001	
3466.930169	0.194597	
3466.931660	0.144598	
3466.933444	0.208015	
3466.934922	0.133189	
3466.936698	0.164699	
3466.938192	0.097849	
3466.939945	0.178186	
3466.941451	0.086364	
3466.943204	0.188627	
3466.944727	0.098916	
3466.946464	0.223404	
3466.947994	0.094497	
3466.949724	0.201187	
3466.951262	0.057010	
3466.952968	0.202158	
3466.954524	0.017238	
3466.956208	0.206352	
3466.957768	0.059306	
3466.959416	0.197284	
3466.961001	-0.003830	
3466.962656	0.180925	
3466.964242	0.003477	
3466.965878	0.159941	
3466.967491	0.020670	
3466.969129	0.122333	
3466.970791	-0.007443	
3466.972376	0.093228	
3466.974050	-0.053221	
3466.975652	0.065348	
3466.977313	-0.099124	
3466.978901	0.036026	
3466.980597	-0.083873	
3466.982176	0.000996	
3466.983876	-0.091700	
3466.985429	-0.027170	
3466.987158	-0.094282	
3466.988721	-0.064561	
3466.990413	-0.109058	
3466.991948	-0.113952	
3466.993671	-0.150787	
3466.995169	-0.117090	
3466.996942	-0.132490	
3466.998419	-0.192867	
3467.000195	-0.153929	
3467.001684	-0.205391	
3467.003457	-0.161502	
3467.004937	-0.264627	
3467.006719	-0.225678	
3467.008212	-0.288294	
3467.009974	-0.220759	
3467.011469	-0.336456	
3467.013213	-0.221089	
3467.014726	-0.317946	
3467.016444	-0.208017	
3467.017969	-0.367914	
3467.019676	-0.249952	
3467.021227	-0.437966	
3467.022923	-0.263435	
3467.024485	-0.390734	
3467.026153	-0.273510	
3467.027726	-0.429587	
3467.029378	-0.253102	
3467.030948	-0.438409	
3467.032616	-0.273554	
3467.034214	-0.463328	
3467.035843	-0.288209	
3467.037474	-0.433362	
3467.038998	-0.433845	
3467.040644	-0.425160	
3467.042121	-0.495982	
3467.043749	-0.401413	
3467.045234	-0.466382	
3467.046864	-0.378778	
3467.048368	-0.494741	
3467.049987	-0.395906	
3467.051507	-0.472320	
3467.053080	-0.368482	
3467.054624	-0.485790	
3467.056163	-0.437326	
3467.057789	-0.454494	
3467.059282	-0.457117	
3467.060916	-0.474640	
3467.062465	-0.374879	
3467.064124	-0.449922	
3467.065616	-0.374053	
3467.067336	-0.467675	
3467.068808	-0.401204	
3467.070546	-0.422775	
3467.072017	-0.446917	
3467.073738	-0.432782	
3467.075222	-0.469339	
3467.076933	-0.393103	
3467.078421	-0.495571	
3467.080115	-0.391942	
3467.081602	-0.514145	
3467.083285	-0.410066	
3467.084798	-0.518009	
3467.086553	-0.418888	
3467.088070	-0.517280	
3467.089793	-0.392309	
3467.091322	-0.569583	
3467.093051	-0.429434	
3467.094603	-0.539190	
3467.096321	-0.415323	
3467.097875	-0.571755	
3467.099572	-0.451167	
3467.101126	-0.633332	
3467.102811	-0.463989	
3467.104383	-0.634617	
3467.106049	-0.511829	
3467.107641	-0.676503	
3467.109285	-0.540503	
3467.110892	-0.736231	
3467.112520	-0.584258	
3467.114151	-0.753710	
3467.115779	-0.631229	
3467.117419	-0.787443	
3467.119054	-0.672950	
3467.120740	-0.875695	
3467.122312	-0.760437	
3467.123984	-0.858297	
3467.125553	-0.794879	
3467.127253	-0.918762	
3467.128825	-0.872396	
3467.130518	-0.991143	
3467.132074	-0.942364	
3467.133769	-1.008993	
3467.135332	-0.995534	
3467.137046	-1.053397	
3467.138567	-1.086590	
3467.140299	-1.079677	
